timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1672416286586,824,HTTP Request-0,301,Moved Permanently,Thread Group 1-7,text,true,,848,188,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,824,0,762
1672416287411,140,HTTP Request-1,200,OK,Thread Group 1-7,text,true,,100817,142,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,32,0,0
1672416286579,974,HTTP Request,200,OK,Thread Group 1-2,text,true,,101663,330,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,831,0,786
1672416286579,831,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,text,true,,847,188,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,831,0,786
1672416287411,142,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,100816,142,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,33,0,0
1672416287411,146,HTTP Request,200,OK,Thread Group 1-6,text,true,,101550,330,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,28,0,0
1672416287411,28,HTTP Request-0,301,Moved Permanently,Thread Group 1-6,text,true,,733,188,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,28,0,0
1672416287440,117,HTTP Request-1,200,OK,Thread Group 1-6,text,true,,100817,142,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,56,0,0
1672416287408,151,HTTP Request,200,OK,Thread Group 1-15,text,true,,101548,330,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,15,0,0
1672416287408,15,HTTP Request-0,301,Moved Permanently,Thread Group 1-15,text,true,,732,188,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,15,0,0
1672416287423,136,HTTP Request-1,200,OK,Thread Group 1-15,text,true,,100816,142,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,78,0,0
1672416286785,779,HTTP Request,200,OK,Thread Group 1-12,text,true,,101665,330,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,623,0,577
1672416286785,623,HTTP Request-0,301,Moved Permanently,Thread Group 1-12,text,true,,848,188,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,623,0,577
1672416287408,156,HTTP Request-1,200,OK,Thread Group 1-12,text,true,,100817,142,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,41,0,0
1672416286624,960,HTTP Request,200,OK,Thread Group 1-8,text,true,,101665,330,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,806,0,765
1672416286624,806,HTTP Request-0,301,Moved Permanently,Thread Group 1-8,text,true,,848,188,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,806,0,765
1672416287430,154,HTTP Request-1,200,OK,Thread Group 1-8,text,true,,100817,142,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,86,0,0
1672416287502,125,HTTP Request,200,OK,Thread Group 1-9,text,true,,101548,330,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,59,0,0
1672416287502,59,HTTP Request-0,301,Moved Permanently,Thread Group 1-9,text,true,,732,188,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,59,0,0
1672416287561,66,HTTP Request-1,200,OK,Thread Group 1-9,text,true,,100816,142,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,38,0,0
1672416287515,127,HTTP Request,200,OK,Thread Group 1-3,text,true,,101550,330,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,61,0,0
1672416287515,61,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,text,true,,733,188,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,61,0,0
1672416287577,65,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,100817,142,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,28,0,0
1672416287499,160,HTTP Request,200,OK,Thread Group 1-11,text,true,,101550,330,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,86,0,0
1672416287499,86,HTTP Request-0,301,Moved Permanently,Thread Group 1-11,text,true,,733,188,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,86,0,0
1672416287585,74,HTTP Request-1,200,OK,Thread Group 1-11,text,true,,100817,142,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,34,0,0
1672416287500,166,HTTP Request,200,OK,Thread Group 1-5,text,true,,101550,330,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,86,0,0
1672416287500,86,HTTP Request-0,301,Moved Permanently,Thread Group 1-5,text,true,,733,188,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,86,0,0
1672416287586,80,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,100817,142,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,23,0,0
1672416287558,121,HTTP Request,200,OK,Thread Group 1-6,text,true,,101548,330,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,31,0,0
1672416287558,31,HTTP Request-0,301,Moved Permanently,Thread Group 1-6,text,true,,732,188,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,31,0,0
1672416287589,90,HTTP Request-1,200,OK,Thread Group 1-6,text,true,,100816,142,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,35,0,0
1672416287553,126,HTTP Request,200,OK,Thread Group 1-2,text,true,,101550,330,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,44,0,0
1672416287553,44,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,text,true,,733,188,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,44,0,0
1672416287597,82,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,100817,142,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,36,0,0
1672416287560,120,HTTP Request,200,OK,Thread Group 1-15,text,true,,101550,330,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,39,0,0
1672416287560,39,HTTP Request-0,301,Moved Permanently,Thread Group 1-15,text,true,,733,188,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,39,0,0
1672416287599,81,HTTP Request-1,200,OK,Thread Group 1-15,text,true,,100817,142,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,35,0,0
1672416287470,229,HTTP Request,200,OK,Thread Group 1-13,text,true,,101550,330,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,92,0,0
1672416287470,92,HTTP Request-0,301,Moved Permanently,Thread Group 1-13,text,true,,733,188,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,92,0,0
1672416287566,133,HTTP Request-1,200,OK,Thread Group 1-13,text,true,,100817,142,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,80,0,0
1672416287515,185,HTTP Request,200,OK,Thread Group 1-10,text,true,,101549,330,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,50,0,0
